title,genre,year,director_name
Blade Runner: The Final Cut (2007),N/A,2007,Unknown
Blade Runner (1982),Talk-Show,1982,Unknown
Blade Runner Story,Sci-Fi,2024,Unknown
Erotic Blade Runner,Animation,2002,Unknown
Barbie,Adventure,2023,Greta Gerwig
Barbie as The Princess and the Pauper,Animation,2004,William Lau
Barbie in the Nutcracker,Animation,2001,Owen Hurley
Barbie as Rapunzel,Animation,2002,Owen Hurley
Barbie of Swan Lake,Animation,2003,Owen Hurley
Barbie in the 12 Dancing Princesses,Animation,2006,Greg Richardson
Barbie and the Magic of Pegasus 3-D,Animation,2005,Greg Richardson
Barbie: Fairytopia,Animation,2005,Walter P. Martishius
Barbie: The Princess & the Popstar,Animation,2012,Ezekiel Norton
Barbie as the Island Princess,Animation,2007,Greg Richardson
Barbie Fairytopia: Mermaidia,Animation,2006,William Lau
Barbie and the Diamond Castle,Animation,2008,Gino Nichele
Barbie and the Three Musketeers,Animation,2009,William Lau
Barbie in the Pink Shoes,Animation,2013,Owen Hurley
Barbie and the Secret Door,Animation,2014,Philip D. Fehrle
Barbie in a Mermaid Tale,Animation,2010,Adam Wood
Barbie Mariposa and The Fairy Princess,Animation,2013,William Lau
Barbie: Princess Charm School,Animation,2011,Ezekiel Norton
Barbie Mariposa and Her Butterfly Fairy Friends,Animation,2008,Conrad Helten
Barbie in 'A Christmas Carol',Animation,2008,William Lau
Barbie Fairytopia: Magic of the Rainbow,Animation,2007,William Lau
Barbie: A Fashion Fairytale,Animation,2010,William Lau
Barbie,N/A,1997,Natasha Arthy
Barbie Diaries,Animation,2006,Eric Fogel
The Shrimp on the Barbie,Comedy,1990,Michael Gottlieb
Barbie Presents: Thumbelina,Animation,2009,Conrad Helten
Barbie: A Fairy Secret,Animation,2011,William Lau
Barbie in a Mermaid Tale 2,Animation,2011,William Lau
Barbie in Rock 'N Royals,Animation,2015,Michael Goguen
Barbie in Princess Power,Animation,2015,Ezekiel Norton
Barbie: Star Light Adventure,Animation,2016,Andrew Tan
Barbie: The Pearl Princess,Animation,2014,Ezekiel Norton
Barbie: A Perfect Christmas,Animation,2011,Mark Baldo
Barbie & Her Sisters in a Pony Tale,Animation,2013,Kyran Kelly
Barbie: Spy Squad,Animation,2016,Michael Goguen
Barbie Princess Adventure,Animation,2020,Conrad Helten
Black Barbie: A Documentary,Documentary,2023,Lagueria Davis
Barbie: Dolphin Magic,Animation,2017,Conrad Helten
Barbie: Big City  Big Dreams,Animation,2021,Scott Pleydell-Pearce
Barbie & Her Sisters in the Great Puppy Adventure,Animation,2015,Andrew Tan
Barbie Video Game Hero,Animation,2017,Conrad Helten
Aqua: Barbie Girl,Short,1997,Peder Pedersen
Tiny Shoulders  Rethinking Barbie,Documentary,2018,Andrea Blaugrund Nevins
Barbie: Mermaid Power,Animation,2022,Ron Myrick
Barbie and the Rockers: Out of This World,Animation,1987,Bernard Deyriès
Barbie,Drama,2011,Sang-woo Lee
Barbie & Her Sisters in a Puppy Chase,Animation,2016,Ken Cunningham
Barbie: Skipper and the Big Babysitting Adventure,Family,2023,Steve Daye
Barbie & Kendra Storm Area 51,Comedy,2020,Charles Band
Barbie & Her Sisters in a Pony Tale,Animation,2013,Kyran Kelly
Mindhunter,Documentary,2008,Todd Dayton
True Detective: Matthew McConaughey Out Takes,Short,2014,Unknown
Making True Detective,Documentary,2013,Unknown
True Detective: A Conversation with Nic Pizzolatto and T Bone Burnett,Short,2014,Unknown
True Detective: Yellow King Theory,Short,2014,David Sidorov
True Detective Pikachu,Short,2019,Sam Haft
Samurai Detective Onihei: True Master,Action,2024,Tomohiko Yamashita
