tvshow_title,season_number,episode_number,title,director_name
Lego Batman,1,3,The killing joke,Kanellopoulos Panos
JDR Batman Gotham City Chronicles,1,1,L'enquête,Unknown
Batman: The Series,1,5,Tommy,Nick Miller
Batman: The Series,1,6,True Mission,Unknown
Blade Runner: Black Lotus,1,1,City of Angels,Shinji Aramaki
Blade Runner: Black Lotus,1,2,All We Are Not,Shinji Aramaki
Blade Runner: Black Lotus,1,3,The Human Condition,Shinji Aramaki
Barbie: Life in the Dreamhouse,1,1,Closet Princess,Todd Resnick
Barbie: Life in the Dreamhouse,1,5,Ken-tastic  Hair-tastic,Todd Resnick
Barbie: Life in the Dreamhouse,1,6,Party Foul,Todd Resnick
Ken and Barbie Killers: The Lost Murder Tapes,1,1,The Murders,Unknown
Ken and Barbie Killers: The Lost Murder Tapes,1,4,The Trial,Unknown
Barbie Dreamhouse Adventures,1,1,Welcome to the Dreamhouse,Patrice Berube
Barbie Dreamhouse Adventures,1,2,Clubhouse (Remix),Patrice Berube
Barbie Dreamhouse Adventures,1,3,Nobody's Cupcake,Patrice Berube
Barbie Dreamhouse Challenge,1,1,Barbie's First Floor Face-Off,Unknown
Barbie Dreamhouse Challenge,1,2,The Suite Life of Barbie and Ken,Unknown
Barbie Dreamhouse Challenge,1,3,Dream in the Front  Party in the Back,Unknown
Barbie: It Takes Two,1,2,First Day Frenzy,Scott Pleydell-Pearce
Barbie: It Takes Two,1,3,Barbies Rising,Dom MacKinnon
Barbie: It Takes Two,1,4,Gone to the Dogs,Scott Pleydell-Pearce
Barbie: A Touch of Magic,1,1,When Barbie Met Peggy,Scott Pleydell-Pearce
Barbie: A Touch of Magic,1,2,Finding Home,Scott Pleydell-Pearce
Barbie: A Touch of Magic,1,3,Barbie  You Can Drive My Car,Scott Pleydell-Pearce
Barbie Dreamtopia,1,1,Building a Licorice Barn,Eran Lazar
Barbie Dreamtopia,1,2,The Super Sparkling Lemonator,Eran Lazar
Barbie Dreamtopia,1,3,The Gemonstrator,Eran Lazar
Barbie Mysteries: The Great Horse Chase,1,1,Hold Those Horses!,Amber Tornquist Hollinger
Barbie Mysteries: The Great Horse Chase,1,2,Episode #1.2,Unknown
Barbie Mysteries: The Great Horse Chase,1,3,Episode #1.3,Amber Tornquist Hollinger
Barbie Vlogger,1,1,10 Things About Me,Peter Krygowski
Barbie Vlogger,1,2,Favorite Fashion and Hairstyles,Peter Krygowski
Barbie Vlogger,1,3,What Type of Song Are You,Peter Krygowski
Barbie,1,1,Episode #1.1,Hazel Wilkinson
Barbie,1,3,Episode #1.3,Hazel Wilkinson
Barbie,1,6,Episode #1.6,Hazel Wilkinson
Barbie LIVE! In the Dreamhouse,1,1,Doctor Barbie,Olivier Loranger Gagnon
Barbie LIVE! In the Dreamhouse,1,3,Oh How Campy Too,Olivier Loranger Gagnon
Barbie LIVE! In the Dreamhouse,1,4,Dream a Little Dreamhouse,Olivier Loranger Gagnon
Cool Barbie,1,1,Fallen from the Sky,Unknown
Cool Barbie,1,2,Return of the Champion,Unknown
Cool Barbie,1,3,Prisoners Freed,Jonathan Austen
Barbie Return to Dreamtopia,1,1,Barbie Meets Mermaids and the Rainbow Queen in Dreamtopia,Unknown
Barbie Return to Dreamtopia,1,2,Barbie Falls in Rainbow Gems in the Musical Forest,Unknown
Barbie Return to Dreamtopia,1,3,Barbie & Chelsea Ride Unicorns and Rainbow Rollercoasters,Unknown
Barbie Ride 'N Style,1,1,Barbie's Smoothie Shop in the Mall,Unknown
Barbie Ride 'N Style,1,2,Barbie Falls During Horse Show Practice,Unknown
Barbie Ride 'N Style,1,3,Ride 'N Style Competition Day,Unknown
Mindhunter,1,1,Episode #1.1,David Fincher
Mindhunter,1,2,Episode #1.2,David Fincher
Mindhunter,1,3,Episode #1.3,Asif Kapadia
True Detective,1,1,The Long Bright Dark,Cary Joji Fukunaga
True Detective,1,2,Seeing Things,Cary Joji Fukunaga
True Detective,1,3,The Locked Room,Cary Joji Fukunaga
True Crime Story: Citizen Detective,1,1,The Mays Family,Unknown
True Crime Story: Citizen Detective,1,2,Rebekah,Unknown
True Crime Story: Citizen Detective,1,3,Deb & Judy,Unknown
